PlacesIdx,County,Phillimore,Hundred,Vill,Area,XRefs,OSrefs,OScodes
1,"WOR","15,8","`Doddingtree'","Abberley",,,"SO7567",
6,"ESS","20,20. 24,51. 34,16","`Winstree'","Abberton",,,"TL9919",
11,"WOR","9,1a","Pershore","Abberton",,,"SO9953",
16,"DOR","13,1","`Uggescombe'","Abbotsbury",,,"SY5785",
21,"DEV","5,6","Merton","Abbotsham",,,"SS4226",
26,"DEV","7,2","Kerswell","Abbotskerswell",,,"SX8568",
31,"HAM","2,23","`Bountisborough'","Abbotstone",,,"SU5634",
36,"SHR","4,3,7","Patton","Abdon",,,"SO5786",
41,"HAM","1,W6","Bowcombe","{Abedestone}","Isle of Wight",,"SZ5888","speculative"
46,"LEC","1,5","Gartree","{Abegrave}",,,,"speculative"
51,"BRK","7,38","`Hormer'","Abingdon",,"Barton BRK","SU4997",
56,"SUR","21,6","Wotton","Abinger",,,"TQ1145",
61,"NTH","59,3","`Spelhoe'","Abington",,,"SP7761",
66,"CAM","1,16. 14,14. 29,10;12","Chilford","[Great and Little] Abington",,,,
71,"CAM","1,19-20. 2,3. 13,5. 26,24. 32,13","`Arringford'","Abington [Pigotts]",,,"TL3044",
76,"HAM","1,W21","Bowcombe","{Abla}","Isle of Wight",,,"unknown"
81,"GLS","WoA1","Bibury","Ablington",,,"SP1007",
86,"WIL","23,4","Amesbury","Ablington",,,"SU1546",
91,"DBY","7,11","Blackwell","Abney",,,"SK1979",
96,"LIN","4,59-60. 13,4","`Calcewath'","Aby","Lindsey South Riding",,"TF4178",
101,"YKS","11W3(-4). SW,An3","Ainsty","Acaster [Malbis]","West Riding",,"SE5845",
106,"YKS","6W3. 11W4. 24W3. 29W28(-29). CW40. SW,An3(-4)","Ainsty","Acaster [Selby]","West Riding",,"SE5740",
111,"NTH","35,11","Cleyley","{Aceshille}",,,"SP7649","speculative"
116,"YKS","6N120 and note. SN,CtA35","Land of Count Alan","{Achebi}","North Riding",,"SE2684","approximate"
121,"HAM","NF9,15","Boldre","{Achelie}",,,,"unknown"
126,"HAM","NF1,1","Redbridge","{Achelie}",,,,"unknown"
131,"NTH","6a,22","Navisford","Achurch",,,"TL0283",
136,"SHR","5,7","Leintwardine","Ackhill","Wales",,"SO2865",
141,"YKS","5E63. 29E29. SE,Ac4","Acklam","Acklam","East Riding",,"SE7861",
146,"YKS","1N28 and note. 4N3. 11N9. 31N5. SN,L32(-33)","Langbaurgh","Acklam","North Riding",,"NZ4817",
151,"SHR","4,1,36","Wittery","Ackley","Wales",,"SJ2501",
156,"YKS","9W95. SW,Ag2","Agbrigg","Ackton","West Riding",,"SE4121",
161,"YKS","9W52 and note. SW,O10","`Osgodcross'","[High and Low] Ackworth","West Riding",,,
166,"NFK","1,151","Walsham","Acle",,,"TG4010",
171,"ESS","25,10","-","{Acleta}",,,,"unknown"
176,"YKS","2W3. 29W13. SW,An15","Ainsty","Acomb","West Riding",,"SE5751",
181,"NFK","8,22;88. 15,5. 22,15-16;20","`Freebridge'","[Castle and West] Acre",,,,
186,"NFK","1,71;75. 8,95. 12,2","`[South] Greenhoe'","[South] Acre",,,"TF8014",
191,"KEN","5,224","`Loningborough'","Acrise","Lympne",,"TR1942",
196,"CHS","8,16. S1,1","{Warmundestrou}","Acton",,,"SJ6253",
201,"DOR","55,41","Ailwood","Acton",,,"SY9878",
206,"SUF","34,2","Babergh","Acton",,,"TL8945",
211,"HEF","EW1","`Doddingtree'","Acton [Beauchamp]",,,"SO6750",
216,"WOR","11,1","`Doddingtree'","Acton [Beauchamp]",,,"SO6750",
221,"SHR","4,4,3","Condover","Acton [Burnell]",,,"SJ5302",
226,"GLS","6,1","Bagstone","`Acton [Ilger]'",,,"ST6784",
231,"GLS","69,6-7","Bagstone","[Iron] Acton",,,"ST6784",
236,"SHR","4,3,18","Condover","Acton [Pigott]",,,"SJ5402",
241,"SHR","4,3,59","Baschurch","Acton [Reynald]",,,"SJ5323",
246,"SHR","4,3,6","Patton","Acton [Round]",,,"SO6395",
251,"SHR","4,27,33","Leintwardine","Acton [Scott]",,,"SO4589",
256,"STS","2,3","Cuttlestone","Acton [Trussell]",,,"SJ9318",
261,"GLS","60,6","{Grimboldestou}","Acton [Turville]",,,"ST8080",
266,"STS","2,20","Pirehill","Adbaston",,,"SJ7627",
271,"DOR","ES4;7;9","Horethorne","Adber",,,"ST5920",
276,"SOM","19,74. 24,37. 47,11","Horethorne","Adber",,,"ST5920",
281,"NTT","10,12;56","Rushcliffe","Adbolton",,,"SK6038",
286,"OXF","1,7a. 3,2. 27,6","Bloxham","Adderbury",,,"SP4635",
291,"SHR","4,24,1","Hodnet","Adderley",,,"SJ6639",
296,"WIL","10,4","`Dolesfield'","Addestone",,,"SU0643",
301,"YKS","1W46 and note. 21W5. SW,Bu32","`Burghshire'","Addingham","West Riding",,"SE0849",
306,"YKS","1W73. SW,Cr3","Craven","Addingham","West Riding",,"SE0849",
311,"BUK","14,6","Ixhill","Addingrove",,,"SP6611",
316,"BUK","4,40. (21,8). 23,30","`Mow'","Addington",,,"SP7428",
321,"KEN","5,51","Larkfield","Addington","Aylesford",,"TQ6558",
326,"NTH","4,21-22. 6a,29. 11,4","`Navisland'","[Great and Little] Addington",,,,
331,"SUR","34,1. 36,7","Wallington","Addington",,,"TQ3863",
336,"LIN","2,19. 3,46. 12,79-80;(81-82). 24,51. 29,17;19;23. 38,8. 68,10","`Candleshoe'","Addlethorpe","Lindsey South Riding",,"TF5468",
341,"YKS","1W49. 28W21. SW,Bu37","`Burghshire'","Addlethorpe","West Riding",,"SE3448",
346,"YKS","5W2 and note. SW,Sk18","`Skyrack'","Adel","West Riding",,"SE2740",
351,"LIN","8,5(-6)","`Beltisloe'","{Adewelle}","Kesteven",,"TF0216","speculative"
356,"HEF","ES6","Leintwardine","Adforton",,,"SO4071",
361,"SHR","6,13","Leintwardine","Adforton",,,"SO4071",
366,"HAM","IoW7,15. IoW9,6","Bowcombe","Adgestone","Isle of Wight",,"SZ5986",
371,"KEN","3,18","Eastry","Adisham","Eastry",,"TR2254",
376,"OXF","58,38","-","{Adlach}",,,,"unknown"
381,"GLS","12,2. EvO8","Salmonsbury","Adlestrop",,,"SP2426",
386,"HEF","ES3;19-20","Leintwardine","Adley",,,"SO3774",
391,"SHR","4,20,26. 6,27-28","Leintwardine","Adley",,,"SO3774",
396,"YKS","17W1. SW,St2","Staincross","Adlingfleet","West Riding",,"SE8421",
401,"CHS","1,26","{Hamestan}","Adlington",,,"SJ9180",
406,"GLS","11,11","{Celfledetorn}","Admington",,,"SP1945",
411,"WAR","EG4","{Celfledetorn}","Admington",,,"SP1945",
416,"SOM","25,3","North Petherton","Adsborough",,,"ST2729",
421,"BUK","16,8","`Mow'","Adstock",,,"SP7330",
