osmid,osmname,category,lat,lon,year_zero
100010435,Johanniskirche,cathedral,49.99841389,8.272385862,700
100013463,San Sisto,conventual,45.05721885,9.69289701,880
100098771,Hospital of Saint Cross,other,51.04710099,-1.321986067,1100
100384687,Collégiale Saint-Laurent,other,43.6435328,5.097030145,1340
100542162,Pfarrkirche St. Paul,parish,48.57559205,13.46261231,1000
100608564,Martinskirche,parish,51.31722298,9.501300792,1343
100664915,Sint-Walburgakerk,parish,51.21144646,3.229253188,1230
100714714,Église Saint-Jacques,parish,50.37114831,3.075279446,1210
100793893,Basilique Saint-Maurice,parish,48.17422079,6.451024489,900
100897965,Église Notre-Dame,parish,50.3666473,3.086262589,1131
100984965,Chiesa di San Biagio,parish,43.09075742,11.77468543,600
101049523,Sint-Pieter en Sint-Barbara,other,51.32313559,4.948924765,1100
1019671,Erfurter Dom,cathedral,50.97566739,11.02316913,752
102099277,Primatiale Saint-Trophime,cathedral,43.67664165,4.628236868,700
102115303,Église des Frères Prêcheurs,conventual,43.67861216,4.626048862,1448
10212387,St. Pantaleon,conventual,50.9285507,6.948002606,860
102336744,Saint Giles Church,parish,53.01154004,-2.229748173,1200
102658969,grosse kirche (JaL bibliothek),parish,53.3654,7.2024,966
102809767,Cathédrale Notre-Dame,cathedral,48.44783667,1.487859158,700
102809999,Cloitre de Saint-André,conventual,48.45019864,1.489903122,1100
102882828,"Église Saint-Pierre, ancienne abbaye de Saint-Père-en-Vallée",conventual,48.44379857,1.492748626,700
102883969,Église Saint-Aignan,parish,48.44476811,1.490530149,700
103135205,Basilique Saint-Vincent,conventual,49.12349048,6.173071269,1248
103327553,St. Andrew's and Blackfriars' Hall,conventual,52.6311,1.2957,1250
103401487,Madonna della Libera,parish,41.49797023,13.70185046,1000
103565431,Basilica di San Piero a Grado,parish,43.67969545,10.34681083,700
103890401_40,Sint-Petrus- en Sint-Pauluskerk,parish,50.93348614,3.154705545,1100
104024575,Basilica di San Francesco,parish,43.46438416,11.88077419,1318
104120377,Reglerkirche,conventual,50.97507206,11.03617093,1130
104395016,Dom St. Petri,parish,51.18245864,14.4237735,1000
104422494,Sint-Martinus,parish,50.93784454,4.041022639,1100
104536788,Chiesa della Santissima Annunziata,parish,43.46710716,11.87780917,1200
104686433,Chiesa di San Trovaso,parish,45.4307995,12.32599361,1028
104688596,Église Notre-Dame,parish,50.95820012,1.853236179,1220
104764936,Stiftsruine Bad Hersfeld,conventual,50.8665901,9.702709553,775
105137673,Cattedrale di San Lorenzo,cathedral,38.01599489,12.50786488,1080
105140144,Chiesa Santa Maria del Gesù,conventual,38.01458689,12.51145241,1220
