PlacesIdx,County,Phillimore,Hundred,Vill,Area,XRefs,OSrefs,OScodes,lat,lon,easting,northing,start_date,end_date
1,WOR,"15,8",`Doddingtree',Abberley,,,SO7567,,52.300561,-2.368032,375000.0,267000.0,1066,1086
6,ESS,"20,20. 24,51. 34,16",`Winstree',Abberton,,,TL9919,,51.834157,0.886905,599000.0,219000.0,1066,1086
11,WOR,"9,1a",Pershore,Abberton,,,SO9953,,52.175269,-2.016034,399000.0,253000.0,1066,1086
16,DOR,"13,1",`Uggescombe',Abbotsbury,,,SY5785,,50.663064,-2.609752,357000.0,85000.0,1066,1086
21,DEV,"5,6",Merton,Abbotsham,,,SS4226,,51.011615,-4.253705,242000.0,126000.0,1066,1086
26,DEV,"7,2",Kerswell,Abbotskerswell,,,SX8568,,50.500462,-3.622904,285000.0,68000.0,1066,1086
31,HAM,"2,23",`Bountisborough',Abbotstone,,,SU5634,,51.10257,-1.201549,456000.0,134000.0,1066,1086
36,SHR,"4,3,7",Patton,Abdon,,,SO5786,,52.470246,-2.634426,357000.0,286000.0,1066,1086
41,HAM,"1,W6",Bowcombe,{Abedestone},Isle of Wight,,SZ5888,speculative,50.688757,-1.180284,458000.0,88000.0,1066,1086
51,BRK,"7,38",`Hormer',Abingdon,,Barton BRK,SU4997,,51.669649,-1.292842,449000.0,197000.0,1066,1086
56,SUR,"21,6",Wotton,Abinger,,,TQ1145,,51.193447,-0.412864,511000.0,145000.0,1066,1086
61,NTH,"59,3",`Spelhoe',Abington,,,SP7761,,52.241825,-0.873711,477000.0,261000.0,1066,1086
71,CAM,"1,19-20. 2,3. 13,5. 26,24. 32,13",`Arringford',Abington [Pigotts],,,TL3044,,52.079115,-0.104363,530000.0,244000.0,1066,1086
81,GLS,WoA1,Bibury,Ablington,,,SP1007,,51.761602,-1.856499,410000.0,207000.0,1066,1086
86,WIL,"23,4",Amesbury,Ablington,,,SU1546,,51.213005,-1.786625,415000.0,146000.0,1066,1086
91,DBY,"7,11",Blackwell,Abney,,,SK1979,,53.307622,-1.716322,419000.0,379000.0,1066,1086
96,LIN,"4,59-60. 13,4",`Calcewath',Aby,Lindsey South Riding,,TF4178,,53.280256,0.11335,541000.0,378000.0,1066,1086
101,YKS,"11W3(-4). SW,An3",Ainsty,Acaster [Malbis],West Riding,,SE5845,,53.897953,-1.118838,458000.0,445000.0,1066,1086
106,YKS,"6W3. 11W4. 24W3. 29W28(-29). CW40. SW,An3(-4)",Ainsty,Acaster [Selby],West Riding,,SE5740,,53.85313,-1.134981,457000.0,440000.0,1066,1086
111,NTH,"35,11",Cleyley,{Aceshille},,,SP7649,speculative,52.134098,-0.891038,476000.0,249000.0,1066,1086
116,YKS,"6N120 and note. SN,CtA35",Land of Count Alan,{Achebi},North Riding,,SE2684,approximate,54.251037,-1.602468,426000.0,484000.0,1066,1086
131,NTH,"6a,22",Navisford,Achurch,,,TL0283,,52.435484,-0.501024,502000.0,283000.0,1066,1086
136,SHR,"5,7",Leintwardine,Ackhill,Wales,,SO2865,,52.278422,-3.056753,328000.0,265000.0,1066,1086
141,YKS,"5E63. 29E29. SE,Ac4",Acklam,Acklam,East Riding,,SE7861,,54.039107,-0.810455,478000.0,461000.0,1066,1086
146,YKS,"1N28 and note. 4N3. 11N9. 31N5. SN,L32(-33)",Langbaurgh,Acklam,North Riding,,NZ4817,,54.546001,-1.259528,448000.0,517000.0,1066,1086
151,SHR,"4,1,36",Wittery,Ackley,Wales,,SJ2501,,52.601605,-3.108813,325000.0,301000.0,1066,1086
156,YKS,"9W95. SW,Ag2",Agbrigg,Ackton,West Riding,,SE4121,,53.683873,-1.380708,441000.0,421000.0,1066,1086
166,NFK,"1,151",Walsham,Acle,,,TG4010,,52.634662,1.545413,640000.0,310000.0,1066,1086
176,YKS,"2W3. 29W13. SW,An15",Ainsty,Acomb,West Riding,,SE5751,,53.951984,-1.13294,457000.0,451000.0,1066,1086
186,NFK,"1,71;75. 8,95. 12,2",`[South] Greenhoe',[South] Acre,,,TF8014,,52.693783,0.662099,580000.0,314000.0,1066,1086
191,KEN,"5,224",`Loningborough',Acrise,Lympne,,TR1942,,51.135378,1.129016,619000.0,142000.0,1066,1086
