PlacesIdx,County,Phillimore,Hundred,Vill,Area,XRefs,OSrefs,OScodes,lat,lon,easting,northing
31,HAM,"2,23",`Bountisborough',Abbotstone,,,SU5634,,51.10257,-1.201549,456000.0,134000.0
41,HAM,"1,W6",Bowcombe,{Abedestone},Isle of Wight,,SZ5888,speculative,50.688757,-1.180284,458000.0,88000.0
76,HAM,"1,W21",Bowcombe,{Abla},Isle of Wight,,,unknown,,,,
121,HAM,"NF9,15",Boldre,{Achelie},,,,unknown,,,,
126,HAM,"NF1,1",Redbridge,{Achelie},,,,unknown,,,,
366,HAM,"IoW7,15. IoW9,6",Bowcombe,Adgestone,Isle of Wight,,SZ5986,,50.670673,-1.166448,459000.0,86000.0
476,HAM,"IoW1,3",Bowcombe,Afton,Isle of Wight,,SZ3586,,50.672608,-1.506053,435000.0,86000.0
636,HAM,"IoW9,4",Bowcombe,{Alalei},Isle of Wight,,SZ5683,speculative,50.643993,-1.20935,456000.0,83000.0
1156,HAM,"49,1",Mansbridge,Allington,,,SU4717,,50.950516,-1.332284,447000.0,117000.0
1206,HAM,"NF7,1",Boldre,Allum,,,SU2707,,50.861875,-1.617729,427000.0,107000.0
1301,HAM,"2,1",Fawley,Alresford,,,SU5833,,51.093381,-1.173148,458000.0,133000.0
1391,HAM,"6,1",Neatham,Alton,,,SU7139,,51.145867,-0.986363,471000.0,139000.0
1481,HAM,"3,12",Meonstoke,Alverstoke,,,SZ6098,,50.778473,-1.150348,460000.0,98000.0
1491,HAM,"IoW6,22",Bowcombe,Alverstone,Isle of Wight,,SZ5785,,50.66188,-1.194901,457000.0,85000.0
1541,HAM,"IoW1,15",Bowcombe,Alvington,Isle of Wight,,SZ4788,,50.689749,-1.335992,447000.0,88000.0
1646,HAM,"1,31. EW1",Amesbury,Amesbury,,,SU1541,,51.168045,-1.786831,415000.0,141000.0
1706,HAM,"23,44. 29,15",Andover,Amport,,,SU2944,,51.194485,-1.586359,429000.0,144000.0
1741,HAM,"1,41",Andover,Andover,,,SU3645,,51.20308,-1.486087,436000.0,145000.0
1751,HAM,"17,4",Boldre,{Andret},,,,unknown,,,,
1776,HAM,"6,11",Andover,[Abbotts] Ann,,,SU3243,,51.185333,-1.543517,432000.0,143000.0
1781,HAM,"16,4",{Welford},[Little] Ann,,,SU3343,,51.185276,-1.52921,433000.0,143000.0
1811,HAM,"1,4",Neatham,Anstey,,,SU7240,,51.154733,-0.97187,472000.0,140000.0
1876,HAM,"23,28",Hoddington,{Aoltone},,,,unknown,,,,
1891,HAM,"23,34",Portsdown,{Aplestede},,,SU6008,speculative,50.86839,-1.148713,460000.0,108000.0
1946,HAM,"IoW6,3. IoW9,12;24",Bowcombe,"[Great, North and Upper] Appleford",Isle of Wight,,,,,,,
2196,HAM,"NF10,3",`Rowditch',Arnewood,,,SZ2797,,50.77195,-1.618461,427000.0,97000.0
2231,HAM,"1,W4",Bowcombe,Arreton,Isle of Wight,,SZ5386,,50.671249,-1.251346,453000.0,86000.0
2561,HAM,"30,1",Overton,Ashe,,,SU5349,,51.237726,-1.242185,453000.0,149000.0
